Catégorie;Code;Dénomination;Unité;Déboursé HT (€);Note
"Plomberie CVC";"";"Fourniture et pose d'un meuble simple vasque";"U";"450";""
"Plomberie CVC";"";"Fourniture et pose d'un robinet extérieur";"U";"245";""
"Plomberie CVC";"";"Fourniture et pose d'un système de VMC simple flux hydro B compris trappe de visite ou Extracteur d'air";"U";"1650";""
"Plomberie CVC";"";"Fourniture meuble lave main compris mitigeur";"U";"160";""
"Plomberie CVC";"";"Fourniture mirroir ";"U";"95";""
"Plomberie CVC";"";"Fourniture un ensemble barre de douche";"U";"155";""
"Plomberie CVC";"";"Fourniture un ensemble barre de douche";"U";"201.5";""
"Plomberie CVC";"";"Fourniture un ensemble barre de douche support et flexible";"U";"155";""
"Plomberie CVC";"";"Fourniture WC ";"U";"160";""
"Plomberie CVC";"";"Pose d'élément sanitaire :
- Siphon douche
- Pare douche
- Colonne de douche 
- Mitigeur 
- Meuble vasque 
- WC
- Lave main WC";"U";"1745";""
"Plomberie CVC";"";"Pose d'éléments sanitaires :
- Receveur
- Paroi de douche
- Colonne de douche 
- Mitigeur 
- Meuble vasque 
- WC";"U";"2745";""
"Plomberie CVC";"PLOMBERIE CVC";"Receveur céramique  l. 80 x L. 80 x h. 5,8 cm Ø de la bonde 90 mm";"1";"180";""
"Revêtement de sol";"Revêtements sols";"Fourniture dalle travertin 1,2 cm ép";"m²";"31";""
"Revêtement de sol";"Revêtements sols";"Fourniture dalle travertin 3 cm ép";"m²";"0";""
"Revêtement de sol";"Revêtements sols";"Fourniture de carrelage 60 x 60 cm";"m²";"35";""
"Revêtement de sol";"Revêtements sols";"Fourniture de carrelage R+1";"m²";"35";""
"Revêtement de sol";"Revêtements sols";"Fourniture de carrelage RDC";"m²";"35";""
"Revêtement de sol";"Revêtements sols";"Fourniture de margelle carrelée 60 x 30 x 2 cm";"ml";"24";""
"Revêtement de sol";"Revêtements sols";"Fourniture d'un parquet contre collé 35€/m² (max)";"m²";"35";""
"Revêtement de sol";"Revêtements sols";"Fourniture et pose de plinthes largeur 8cm en médium pré-peintes à bords droits";"ml";"17.5";""
"Revêtement de sol";"Revêtements sols";"Fourniture et pose de ragréage fibré P3 renforcé";"m²";"15";""
"Revêtement de sol";"Revêtements sols";"Fourniture margelle travertin 60 x 33 x 3 cm ép";"ml";"30";""
"Revêtement de sol";"Revêtements sols";"Pose dalle 1,2 cm ép compris jointement";"m²";"35";""
"Revêtement de sol";"Revêtements sols";"Pose dalle 3 cm ép compris jointement";"m²";"50";""
"Revêtement de sol";"Revêtements sols";"Pose du carrelage compris jointement ";"m²";"75";""
"Revêtement de sol";"Revêtements sols";"Pose du margelle compris jointement sur dalle existante";"ml";"28";""
"Revêtement de sol";"Revêtements sols";"Pose d'un parquet contre collé en pose flottante";"m²";"30";""
"Revêtement de sol";"Sols";"Pose margelle 3 cm ép compris jointement";"m²";"20";""
"Revêtement de sol";"Revêtements sols";"Primaire d'accrochage";"m²";"2.5";""
"Revêtement de sol";"Revêtements sols";"Traitement hydrofuge des dalles ";"m²";"3";""
"Revêtement mural";"";"Détapissage complet des supports";"m²";"11.5";""
"Revêtement mural";"";"Peinture mur velours  : Préparation, impression et 2 couches de finition";"m²";"12";""
"Revêtement mural";"";"Peinture plafond velours : Préparation, impression et 2 couches de finition velours";"m²";"11.5";""
"Revêtement mural";"";"Peinture porte à galandage : Préparation, impression et 2 couches de finition";"U";"70";""
"Revêtement mural";"";"Peinture poutre : Préparation, impression et 2 couches de finition";"U";"250";""
